w;01.12.2001;01.01.2002;01.02.2002;01.03.2002;01.04.2002;01.05.2002;01.06.2002;01.07.2002;01.08.2002;01.09.2002;01.10.2002;01.11.2002;01.12.2002;01.01.2003;01.02.2003;01.03.2003;01.04.2003;01.05.2003;01.06.2003;01.07.2003;01.08.2003;01.09.2003;01.10.2003;01.11.2003;01.12.2003;01.01.2004;01.02.2004;01.03.2004;01.04.2004;01.05.2004;01.06.2004;01.07.2004;01.08.2004;01.09.2004;01.10.2004;01.11.2004;01.12.2004;01.01.2005;01.02.2005;01.03.2005;01.04.2005;01.05.2005;01.06.2005;01.07.2005;01.08.2005;01.09.2005;01.10.2005;01.11.2005;01.12.2005;01.01.2006;01.02.2006;01.03.2006;01.04.2006;01.05.2006;01.06.2006;01.07.2006;01.08.2006;01.09.2006;01.10.2006;01.11.2006;01.12.2006;01.01.2007;01.02.2007;01.03.2007;01.04.2007;01.05.2007;01.06.2007;01.07.2007;01.08.2007;01.09.2007;01.10.2007;01.11.2007;01.12.2007;01.01.2008;01.02.2008;01.03.2008;01.04.2008;01.05.2008;01.06.2008;01.07.2008;01.08.2008;01.09.2008;01.10.2008;01.11.2008;01.12.2008;01.01.2009;01.02.2009;01.03.2009;01.04.2009;01.05.2009;01.06.2009;01.07.2009;01.08.2009;01.09.2009;01.10.2009;01.11.2009;01.12.2009;01.01.2010;01.02.2010;01.03.2010;01.04.2010;01.05.2010;01.06.2010;01.07.2010;01.08.2010;01.09.2010;01.10.2010;01.11.2010;01.12.2010;01.01.2011;01.02.2011;01.03.2011;01.04.2011;01.05.2011;01.06.2011;01.07.2011;01.08.2011;01.09.2011;01.10.2011;01.11.2011;01.12.2011;01.01.2012;01.02.2012;01.03.2012;01.04.2012;01.05.2012;01.06.2012;01.07.2012;01.08.2012;01.09.2012;01.10.2012;01.11.2012;01.12.2012;01.01.2013;01.02.2013;01.03.2013;01.04.2013;01.05.2013;01.06.2013;01.07.2013;01.08.2013;01.09.2013;01.10.2013;01.11.2013;01.12.2013;01.01.2014;01.02.2014;01.03.2014;01.04.2014;01.05.2014;01.06.2014;01.07.2014;01.08.2014;01.09.2014;01.10.2014;01.11.2014;01.12.2014;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016
274;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.29;58.32;51.37;36.48;34.73;30.87;27.71;24.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
276;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;37.48;38.14;141.22;156.80;141.61;129.97;128.71;125.71;125.67;122.65;120.17;123.61;124.74;121.90;122.48;120.23;119.55;121.55;126.00;124.87;122.43;125.81;111.48;134.24;144.05;142.23;137.52;131.27;126.26;133.26;137.29;130.35;127.83;147.81;148.13;146.23;144.58;144.60;142.35;135.00;120.81;122.26;113.24;131.16;143.77;139.92;124.37;105.28;125.33;152.50;151.29;150.18;148.26;144.87;139.71;123.48;128.00;134.94;144.00;144.74;154.13;152.00;154.10;154.97;149.68;151.74;148.32;140.48;149.57;157.32;147.87;153.88;162.29;160.91;168.86;178.83;161.93;150.24;158.83;155.81;154.11;157.19;158.50;147.48;141.53;143.95;140.29;135.99;157.43;159.09;164.40;161.94;157.86;143.85;144.94;153.12;156.86;158.53
277;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.93;23.77;22.13;81.89;141.13;128.73;135.26;128.85;141.93;132.97;128.53;125.52;119.43;126.10;124.61;121.53;124.81;125.10;118.42;132.42;134.82;126.65;114.17;120.06;108.43;128.55;130.19;132.73;128.16;123.03;120.42;128.71;132.68;115.46;126.57;132.81;130.83;130.61;114.52;118.93;112.00;106.40;109.10;106.52;89.55;80.13;80.10;86.59;75.30;73.91;73.06;74.31;71.74;69.20;68.90;67.42;67.68;65.81;66.67;63.58;63.87;64.94;67.16;67.67;68.68;67.77;55.68;55.84;60.14;43.45;0.00;0.00;89.24;90.39;83.29;90.85;100.33;119.47;109.87;97.34;105.90;98.69;100.74;92.51;105.48;106.52;100.39;99.51;97.26;159.67;150.26;198.53;202.84;193.38;183.20;175.94;175.73;188.84;193.90;195.25
278;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.64;19.83;149.17;144.77;125.71;87.64;84.52;83.77;94.61;96.28;134.36;131.13;124.60;117.29;133.90;129.35;126.48;130.93;131.00;123.40;134.03;136.97;137.48;146.23;135.00;129.06;151.88;145.35;141.48;141.75;138.77;142.78;148.96;149.53;161.70;146.61;139.80;125.19;129.77;117.42;116.58;123.90;136.00;125.89;127.94;128.00;127.86;125.87;134.29;143.13;157.89;154.03;143.84;136.61;124.03;130.83;148.23;160.60;168.00;170.06;170.60;171.87;172.97;174.23;173.03;168.21;166.42;178.73;179.00;175.90;172.54;170.82;165.46;178.90;198.31;200.67;186.87;196.83;187.17;191.79;187.75;181.29;230.31;218.94;210.26;206.42;200.93;226.85;191.56;200.37;194.88;197.81;189.27;187.05;185.44;188.73;190.23
279;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;138.10;145.19;130.93;129.10;131.13;134.27;128.26;114.13;93.19;80.16;70.86;65.39;62.40;60.58;56.87;71.19;73.26;69.83;73.45;60.83;57.13;56.42;55.50;57.74;61.73;62.90;67.13;74.58;76.35;78.03;75.84;73.60;70.35;72.55;71.00;64.77;61.44;67.26;71.87;69.84;63.58;64.90;63.13;58.00;54.74;53.77;49.97;50.55;51.77;53.30;52.08;52.88;55.58;58.20;68.42;67.44;65.06;62.61;55.68;61.91;53.97;55.16;35.87;35.45;38.65;42.87;43.35;43.20;43.77;44.97;40.61;41.25;44.43;47.68;45.43;43.07;39.16;38.35;46.90;63.71;63.91;59.88;59.23;57.26;60.74;61.33;60.52;52.11;55.24;72.10;67.55;63.38;61.65;61.63;63.29;61.79;55.96;51.88;48.25;46.27;58.22;58.07
280;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;122.53;97.90;86.37;81.90;79.13;73.97;61.58;60.71;55.55;59.97;80.61;78.63;82.00;77.06;79.10;82.90;87.77;86.16;89.77;90.86;93.58;97.33;103.19;104.17;102.71;91.44;112.27;95.52;90.97;90.23;93.94;90.93;84.52;83.77;93.74;105.10;102.48;87.13;94.55;79.81;73.73;76.16;72.50;65.66;72.65;79.20;75.17;70.93;74.26;89.64;87.33;83.03;81.01;76.19;64.61;64.75;61.84;56.30;58.29;73.27;77.39;78.77;79.20;78.81;80.70;80.77;80.35;77.07;67.96;80.47;82.29;76.53;77.00;76.17;72.31;80.19;94.23;92.99;92.20;92.24;91.63;93.63;92.63;90.40;86.14;80.38;86.53;85.89;82.62;79.43;81.84;83.25;80.37;80.95;78.49;78.10;76.01;75.89;76.74
282;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;122.55;75.97;53.90;48.06;58.90;61.10;59.40;59.84;58.23;68.64;59.29;53.97;59.13;58.88;52.10;57.35;60.23;59.19;57.20;59.97;60.06;60.68;64.92;63.50;63.06;63.73;62.42;58.30;57.27;57.00;54.20;50.58;51.61;48.71;41.58;38.94;48.23;49.93;47.61;42.61;46.40;45.90;41.73;42.32;44.58;34.21;34.81;35.60;33.95;34.37;35.22;35.84;32.96;32.35;38.09;56.71;57.77;64.71;54.20;47.07;37.71;38.73;38.23;40.35;34.67;32.77;34.70;36.37;34.87;34.07;41.54;20.50;20.23;24.07;21.08;23.76;37.53;40.40;42.55;40.12;37.49;40.30;41.20;47.96;48.71;44.68;37.44;34.90;36.76;40.76;48.36;59.97;49.73;52.91;55.17;52.08;47.90;46.29;40.09;33.50;31.86
288;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.70;62.90;54.20;49.52;46.23;46.64;47.84;48.67;48.74;49.57;48.74;35.87;36.21;34.68;35.70;37.52;34.10;33.14;31.61;36.77;46.06;43.10;42.58;42.32;37.57;41.74;43.97;39.68;36.74;38.43;37.97;38.03;36.52;34.03;33.69;35.65;32.50;29.81;28.03;33.13;27.21;26.52;26.74;27.57;30.08;29.61;24.94;24.03;21.03;23.58;24.74;26.68;24.26;24.29;23.13;24.97;28.49;27.10;26.71;121.59;55.00;46.71;43.37;41.87;39.97;35.32;35.14;35.38;39.88;45.37;38.81;37.88;37.82;36.96;37.69;38.74;39.76;36.05;36.67;36.62;35.75;34.77;34.44;32.77;32.82;36.32;44.70;45.22;43.22;45.17;44.67;42.47;39.13;33.69;34.79;34.47;33.51
291;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;77.20;56.84;46.20;38.97;33.06;29.38;38.21;35.77;31.84;33.68;30.11;27.71;30.23;38.44;42.80;41.90;37.16;35.00;34.87;32.92;24.32;26.61;36.86;36.27;39.87;39.65;40.02;38.19;38.73;38.10;38.16;37.29;38.74;40.13;40.25;40.48;34.40;34.14;37.57;33.87;30.00;28.27;29.84;29.17;25.48;23.55;22.96;22.74;20.80;21.52;22.00;67.79;41.30;40.62;40.22;37.48;33.89;37.54;43.06;42.69;35.49;36.66;36.54;35.08;33.23;33.59;33.82;33.11;33.44;35.26;35.43;34.80;34.05;34.44;33.02;34.09;35.58;35.81
292;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;49.09;39.52;32.16;25.37;24.23;23.77;30.74;29.29;27.39;25.81;26.33;22.58;24.68;26.45;25.29;24.20;22.58;23.70;24.10;24.16;27.66;24.06;24.93;24.80;23.00;21.87;20.72;20.43;20.46;17.47;17.03;17.06;17.79;16.19;19.83;32.10;31.12;32.10;31.71;32.45;28.06;26.80;26.03;24.29;24.07;24.87;24.13;23.35;19.87;21.35;20.82;19.96;19.07;18.95;19.16;19.84;16.65;16.91;21.05;22.88;24.17;26.47;29.61;31.30;33.12;31.11;28.53;27.26;27.68;28.94;29.22;29.59;29.33;30.36;30.06;31.91
