w;01.12.2001;01.01.2002;01.02.2002;01.03.2002;01.04.2002;01.05.2002;01.06.2002;01.07.2002;01.08.2002;01.09.2002;01.10.2002;01.11.2002;01.12.2002;01.01.2003;01.02.2003;01.03.2003;01.04.2003;01.05.2003;01.06.2003;01.07.2003;01.08.2003;01.09.2003;01.10.2003;01.11.2003;01.12.2003;01.01.2004;01.02.2004;01.03.2004;01.04.2004;01.05.2004;01.06.2004;01.07.2004;01.08.2004;01.09.2004;01.10.2004;01.11.2004;01.12.2004;01.01.2005;01.02.2005;01.03.2005;01.04.2005;01.05.2005;01.06.2005;01.07.2005;01.08.2005;01.09.2005;01.10.2005;01.11.2005;01.12.2005;01.01.2006;01.02.2006;01.03.2006;01.04.2006;01.05.2006;01.06.2006;01.07.2006;01.08.2006;01.09.2006;01.10.2006;01.11.2006;01.12.2006;01.01.2007;01.02.2007;01.03.2007;01.04.2007;01.05.2007;01.06.2007;01.07.2007;01.08.2007;01.09.2007;01.10.2007;01.11.2007;01.12.2007;01.01.2008;01.02.2008;01.03.2008;01.04.2008;01.05.2008;01.06.2008;01.07.2008;01.08.2008;01.09.2008;01.10.2008;01.11.2008;01.12.2008;01.01.2009;01.02.2009;01.03.2009;01.04.2009;01.05.2009;01.06.2009;01.07.2009;01.08.2009;01.09.2009;01.10.2009;01.11.2009;01.12.2009;01.01.2010;01.02.2010;01.03.2010;01.04.2010;01.05.2010;01.06.2010;01.07.2010;01.08.2010;01.09.2010;01.10.2010;01.11.2010;01.12.2010;01.01.2011;01.02.2011;01.03.2011;01.04.2011;01.05.2011;01.06.2011;01.07.2011;01.08.2011;01.09.2011;01.10.2011;01.11.2011;01.12.2011;01.01.2012;01.02.2012;01.03.2012;01.04.2012;01.05.2012;01.06.2012;01.07.2012;01.08.2012;01.09.2012;01.10.2012;01.11.2012;01.12.2012;01.01.2013;01.02.2013;01.03.2013;01.04.2013;01.05.2013;01.06.2013;01.07.2013;01.08.2013;01.09.2013;01.10.2013;01.11.2013;01.12.2013;01.01.2014;01.02.2014;01.03.2014;01.04.2014;01.05.2014;01.06.2014;01.07.2014;01.08.2014;01.09.2014;01.10.2014;01.11.2014;01.12.2014;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016
274;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.11;29.48;28.94;27.06;26.10;28.32;20.30;12.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
276;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.36;33.54;62.23;76.68;73.71;76.74;81.35;72.85;75.68;75.83;78.06;80.25;81.10;81.43;81.72;82.06;81.35;82.91;83.30;84.42;84.81;85.59;77.29;86.59;94.00;93.72;93.53;93.37;94.17;93.88;94.04;93.91;94.68;95.77;96.13;96.12;96.34;96.20;96.62;96.59;94.05;96.97;97.10;97.07;97.36;97.59;98.07;97.63;97.33;96.82;97.23;97.58;97.32;97.33;97.42;97.99;98.07;98.15;97.80;97.37;97.17;96.93;97.74;98.30;98.15;98.53;99.18;97.61;96.86;97.95;97.88;98.03;97.95;98.52;97.17;98.05;97.95;99.04;98.87;96.43;96.59;95.98;97.12;96.88;96.77;97.25;96.89;97.25;97.07;96.83;97.54;96.07;97.71;97.44;97.82;97.52;97.17;97.00
277;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.84;32.56;46.89;54.95;49.58;50.54;40.97;41.48;38.12;40.00;39.78;41.07;40.08;45.72;47.55;50.00;53.99;57.71;65.08;74.59;79.76;73.50;75.24;78.94;81.86;79.57;77.53;77.72;79.18;80.33;80.82;80.00;80.03;82.72;85.97;84.36;84.99;84.22;87.77;86.83;89.07;90.54;94.74;94.43;94.96;95.17;95.26;95.44;96.85;97.11;96.87;97.30;96.94;96.86;97.33;96.22;96.94;97.40;96.65;96.48;97.18;96.62;96.83;97.24;96.62;96.26;96.29;96.27;97.74;98.12;0.00;0.00;97.80;97.75;97.48;97.45;97.31;97.76;97.56;96.60;97.11;97.34;97.42;97.37;97.35;95.99;96.65;96.19;95.86;95.22;95.35;94.24;93.90;91.97;92.80;92.90;93.71;94.13;94.95;95.19
278;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52.68;55.46;75.42;75.74;82.14;83.70;87.18;88.54;92.81;92.85;92.93;93.83;95.05;95.10;95.02;94.76;95.00;96.86;96.70;95.19;93.41;92.84;94.84;93.98;94.17;93.75;95.93;95.07;94.46;94.61;93.84;94.37;94.19;97.33;98.45;96.85;98.04;97.96;97.59;97.39;97.73;97.75;97.44;97.73;97.49;98.05;97.65;97.13;95.06;95.20;93.97;95.60;95.67;95.71;96.15;95.87;96.54;96.82;96.72;96.57;96.87;95.63;95.93;96.19;97.35;97.20;97.38;97.31;97.30;97.18;97.35;97.48;97.14;97.40;97.32;97.39;97.99;97.80;97.85;98.11;97.81;97.68;97.97;97.95;98.09;98.20;98.77;98.30;98.21;97.99;97.96;98.37;98.05;98.21;97.97;98.26;97.43
279;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.64;5.53;4.48;5.70;8.00;9.21;11.59;12.12;11.65;11.51;12.20;13.42;13.09;13.02;10.90;13.05;18.23;15.27;15.72;17.59;18.69;20.98;18.60;17.37;23.22;24.10;23.78;25.65;24.59;24.39;25.10;26.90;27.14;27.92;30.28;32.62;32.35;40.58;44.67;52.61;53.17;54.65;49.16;45.06;49.73;53.33;56.52;54.56;59.05;56.45;59.38;61.62;59.72;60.21;60.49;59.10;54.44;54.61;58.05;59.81;66.09;63.27;67.19;65.79;69.28;69.44;68.97;74.23;70.45;68.79;69.57;72.12;73.82;78.82;76.74;77.07;77.03;79.18;81.33;79.60;79.67;80.51;76.19;81.94;86.03;86.89;87.17;84.77;83.61;80.51;77.45;76.37;77.73;79.25;78.16;79.24;83.76;85.27;86.43;83.37;85.48;85.99
280;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;46.74;35.68;33.96;34.34;35.17;38.68;41.23;44.53;41.87;44.69;52.30;53.07;66.29;68.86;69.11;72.30;80.02;83.41;78.66;79.56;82.42;83.56;84.18;86.40;94.50;95.22;91.57;87.50;88.86;87.31;88.60;89.83;90.08;90.61;90.57;91.09;91.44;93.34;95.13;96.20;96.07;94.79;95.34;95.85;96.05;96.80;97.59;94.13;94.21;95.27;97.09;96.78;95.63;96.06;95.51;95.09;95.15;93.43;96.13;95.45;96.37;96.03;94.70;92.75;94.01;93.73;94.78;94.16;96.82;96.89;96.08;96.60;96.73;96.39;96.58;95.88;96.39;97.14;95.50;97.01;95.14;95.19;95.02;94.80;96.85;97.08;97.06;96.94;97.65;97.33;97.81;98.05;98.03;98.39;98.17;98.30;97.83;97.35;97.23
282;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.89;17.07;17.24;18.12;11.66;12.51;12.51;12.02;12.58;11.08;12.13;12.85;11.18;11.14;9.66;11.30;13.12;15.15;17.60;21.09;23.25;26.43;28.38;30.71;33.20;36.92;41.24;42.95;41.91;47.82;50.31;52.55;54.81;56.67;57.72;57.59;64.41;66.69;67.41;67.45;66.67;69.99;69.01;76.83;77.13;76.31;76.18;76.97;80.40;82.37;86.11;80.29;82.08;80.26;83.75;93.15;91.85;95.97;94.53;94.76;96.49;95.18;96.37;96.00;96.92;91.24;97.12;96.09;96.21;96.02;97.36;97.07;96.49;92.11;90.13;92.86;96.10;96.11;97.24;96.83;96.15;97.49;97.31;97.05;97.10;98.18;96.65;97.85;97.61;96.76;96.51;97.07;96.53;97.71;97.13;97.88;96.37;96.16;97.31;95.92;95.23
288;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;56.94;50.82;41.39;41.37;41.59;41.19;38.84;38.22;38.12;37.05;38.52;35.43;30.38;31.16;33.15;33.53;34.25;34.70;35.31;35.54;39.29;41.45;40.76;42.61;41.35;41.65;42.23;41.54;40.65;41.17;42.31;43.03;49.73;48.78;34.69;40.18;62.05;44.91;32.58;34.18;38.28;37.84;42.58;41.72;57.42;49.02;41.69;44.80;45.80;51.92;45.64;49.09;54.92;49.41;54.25;52.47;56.46;54.00;50.80;85.63;73.45;67.70;66.03;67.87;75.38;67.24;69.77;67.83;68.05;76.86;59.84;65.99;72.98;67.43;71.95;69.31;74.50;78.45;78.54;79.86;81.61;79.16;82.79;82.90;80.69;83.12;85.78;89.46;89.04;88.36;89.19;76.99;83.57;71.27;86.92;88.84;88.57
291;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;87.31;77.24;74.75;74.25;78.83;88.98;74.10;73.25;72.24;70.69;69.51;66.38;71.11;87.94;78.27;74.75;78.39;78.48;77.89;78.86;79.74;56.97;72.50;81.02;75.84;81.24;75.73;75.66;72.48;70.78;68.64;65.53;66.69;63.50;65.22;62.31;60.56;60.36;58.30;53.62;62.80;65.33;66.49;67.77;66.08;62.88;60.96;59.46;60.10;58.47;55.68;86.15;60.61;73.93;63.32;57.27;67.34;62.03;69.21;71.22;69.24;67.08;68.26;66.14;65.89;70.37;74.67;68.82;72.29;69.64;79.15;75.63;77.97;74.53;69.86;84.44;89.08;91.77
292;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.85;55.59;49.85;52.56;48.47;42.78;40.61;38.77;37.03;38.50;40.25;35.86;38.02;39.63;44.26;41.74;37.71;37.97;37.62;36.18;33.79;35.25;40.37;40.29;45.28;43.80;43.89;49.92;43.39;30.73;28.60;30.06;36.55;32.67;26.05;46.33;32.24;52.56;53.10;52.94;65.75;59.83;58.86;58.43;56.53;62.13;58.98;63.26;61.58;63.76;56.72;65.80;65.09;53.29;57.35;61.93;64.79;67.89;68.18;66.33;67.37;66.15;68.96;65.15;67.47;72.44;69.59;68.93;69.05;72.92;68.55;72.45;74.80;73.29;76.82;77.06
